waktu,brand,retail,production,sale
2020-02-01,MITSUBISHI,11249,15786,10903
2020-02-01,SUZUKI,8144,13634,8613
2020-02-01,TOYOTA,23884,38730,25053
2020-03-01,DAIHATSU,10946,17972,18162
2020-03-01,HONDA,10657,12306,12068
2020-03-01,MITSUBISHI,7923,17473,10359
2020-03-01,SUZUKI,7161,12644,5085
2020-03-01,TOYOTA,17787,43222,26191
2020-04-01,DAIHATSU,5160,1330,1330
2020-04-01,HONDA,1855,3689,1183
2020-04-01,MITSUBISHI,3822,2863,1113
2020-04-01,SUZUKI,2700,2946,1042
2020-04-01,TOYOTA,8443,8590,2053
2020-05-01,DAIHATSU,3673,0,0
2020-05-01,HONDA,1291,52,101
2020-05-01,MITSUBISHI,1157,0,919
2020-05-01,SUZUKI,2205,561,779
2020-05-01,TOYOTA,6727,1357,695
2020-06-01,DAIHATSU,5558,333,331
2020-06-01,HONDA,2488,0,1267
2020-06-01,MITSUBISHI,3280,302,2404
2020-06-01,SUZUKI,4206,3284,2755
2020-06-01,TOYOTA,11196,12116,3705
2020-07-01,DAIHATSU,5890,1553,1553
2020-07-01,HONDA,4036,126,2016
2020-07-01,MITSUBISHI,4697,3066,4690
2020-07-01,SUZUKI,5432,6514,6369
2020-07-01,TOYOTA,11531,11089,7224
2020-08-01,DAIHATSU,6300,6632,6651
2020-08-01,HONDA,4865,2282,3047
2020-08-01,MITSUBISHI,5011,4517,4867
2020-08-01,SUZUKI,5259,1273,3501
2020-08-01,TOYOTA,11057,13166,8223
2020-09-01,DAIHATSU,7721,11182,11204
2020-09-01,HONDA,5835,4846,5856
2020-09-01,MITSUBISHI,6208,7600,6630
2020-09-01,SUZUKI,5710,8666,6246
2020-09-01,TOYOTA,12523,25465,12845
2020-10-01,DAIHATSU,8135,8281,8289
2020-10-01,HONDA,6561,7868,7732
2020-10-01,MITSUBISHI,6891,10901,7118
2020-10-01,SUZUKI,5715,8150,5143
2020-10-01,TOYOTA,13466,28840,15968
2020-11-01,DAIHATSU,9200,6716,6772
2020-11-01,HONDA,7455,7956,8448
2020-11-01,MITSUBISHI,7454,11304,8743
2020-11-01,SUZUKI,7232,10656,8217
2020-11-01,TOYOTA,17908,31959,14794
2020-12-01,DAIHATSU,9203,6479,6481
2020-12-01,HONDA,9887,7116,7447
2020-12-01,MITSUBISHI,9667,8964,9224
2020-12-01,SUZUKI,8505,9105,7868
2020-12-01,TOYOTA,23215,32575,18249
